"Lesson_No.","Problem.Hierarchy","Topics","PC1","PC2"
1,"Unit absolute-value"," Section absolute-value-3",-1.7563392834943,1.40709087496915
1,"Unit absolute-value"," Section absolute-value-3",-0.204216996291662,1.65649810336369
1,"Unit absolute-value"," Section absolute-value-3",1.1721687738145,0.487438039324916
1,"Unit absolute-value"," Section absolute-value-3",1.1837276193771,0.379351307719754
1,"Unit absolute-value"," Section absolute-value-3",0.354575997979241,1.25119004530811
1,"Unit absolute-value"," Section absolute-value-3",1.33190095834501,0.266302138361664
1,"Unit absolute-value"," Section absolute-value-3",1.33279010031136,0.257987774392036
1,"Unit absolute-value"," Section absolute-value-3",1.31589640295065,0.415960689814964
1,"Unit absolute-value"," Section absolute-value-3",1.35235122357114,0.0750717670602249
1,"Unit absolute-value"," Section absolute-value-3",1.33190095834501,0.266302138361664
1,"Unit absolute-value"," Section absolute-value-3",1.33279010031136,0.257987774392036
1,"Unit absolute-value"," Section absolute-value-3",1.33279010031136,0.257987774392036
1,"Unit absolute-value"," Section absolute-value-3",0.274673553706867,-0.162656940865568
1,"Unit absolute-value"," Section absolute-value-3",1.3283443904796,0.299559594240175
1,"Unit absolute-value"," Section absolute-value-3",1.31322897705159,0.440903781723848
1,"Unit absolute-value"," Section absolute-value-1",-1.50812399653308,1.5579169705263
1,"Unit absolute-value"," Section absolute-value-1",-0.469384463054638,0.898338868330189
1,"Unit absolute-value"," Section absolute-value-1",-0.504990337579954,1.87959423779947
1,"Unit absolute-value"," Section absolute-value-1",1.35134197173375,0.456264129620169
1,"Unit absolute-value"," Section absolute-value-1",1.35134197173375,0.456264129620169
1,"Unit absolute-value"," Section absolute-value-1",1.35134197173375,0.456264129620169
1,"Unit absolute-value"," Section absolute-value-1",1.35134197173375,0.456264129620169
1,"Unit absolute-value"," Section absolute-value-1",0.443657948835992,0.0263499805094687
1,"Unit absolute-value"," Section absolute-value-1",0.443657948835992,0.0263499805094687
1,"Unit absolute-value"," Section absolute-value-1",1.3522311137001,0.447949765650541
1,"Unit absolute-value"," Section absolute-value-1",1.3522311137001,0.447949765650541
1,"Unit absolute-value"," Section absolute-value-1",1.3522311137001,0.447949765650541
1,"Unit absolute-value"," Section absolute-value-1",1.3522311137001,0.447949765650541
1,"Unit absolute-value"," Section absolute-value-1",1.3522311137001,0.447949765650541
1,"Unit absolute-value"," Section absolute-value-1",0.433492950437373,0.00495079607821924
1,"Unit absolute-value"," Section absolute-value-1",0.433492950437373,0.00495079607821924
1,"Unit absolute-value"," Section absolute-value-1",1.35312025566645,0.439635401680913
1,"Unit absolute-value"," Section absolute-value-1",1.35312025566645,0.439635401680913
1,"Unit absolute-value"," Section absolute-value-1",1.35312025566645,0.439635401680913
1,"Unit absolute-value"," Section absolute-value-1",1.35312025566645,0.439635401680913
1,"Unit absolute-value"," Section absolute-value-1",1.35312025566645,0.439635401680913
1,"Unit absolute-value"," Section absolute-value-1",0.423327952038753,-0.0164483883530303
